Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.5, epilambda=0.2, epochs=2000, gpu=None, hidRNN=10, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.001, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f23c51fae50>
model: Model(
  (GRU1): GRU(10, 10)
  (dropout): Dropout(p=0.5, inplace=False)
  (linear1): Linear(in_features=10, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 873
begin training
| end of epoch 104 | time:  0.01s | train_loss 392371354920027.31250000 | valid rse 29789524.0083 | valid rae 5908927.4740 | valid corr  0.3080
| end of epoch 105 | time:  0.01s | train_loss 390038102846184.18750000 | valid rse 29687060.2591 | valid rae 5883830.3562 | valid corr  0.3097
| end of epoch 106 | time:  0.01s | train_loss 387711835639342.62500000 | valid rse 29601312.7681 | valid rae 5866344.1534 | valid corr  0.3099
| end of epoch 107 | time:  0.01s | train_loss 385630232353546.81250000 | valid rse 29520240.1948 | valid rae 5849860.9096 | valid corr  0.3100
| end of epoch 108 | time:  0.01s | train_loss 383527190526769.25000000 | valid rse 29441935.6307 | valid rae 5833582.4658 | valid corr  0.3103
| end of epoch 109 | time:  0.01s | train_loss 381545262744905.81250000 | valid rse 29356862.2403 | valid rae 5814868.8658 | valid corr  0.3109
| end of epoch 110 | time:  0.01s | train_loss 379605502266372.81250000 | valid rse 29262641.6680 | valid rae 5793433.6000 | valid corr  0.3118
| end of epoch 111 | time:  0.01s | train_loss 377384492004531.81250000 | valid rse 29173875.4116 | valid rae 5772781.7644 | valid corr  0.3129
| end of epoch 112 | time:  0.01s | train_loss 375603818727775.93750000 | valid rse 29105150.5867 | valid rae 5760637.5452 | valid corr  0.3124
| end of epoch 113 | time:  0.01s | train_loss 373429242506729.37500000 | valid rse 29025066.2314 | valid rae 5741138.0603 | valid corr  0.3136
| end of epoch 114 | time:  0.01s | train_loss 371850323806390.68750000 | valid rse 28948209.1299 | valid rae 5724172.9753 | valid corr  0.3142
| end of epoch 115 | time:  0.01s | train_loss 370078224332894.25000000 | valid rse 28882746.1924 | valid rae 5713249.8411 | valid corr  0.3135
| end of epoch 116 | time:  0.01s | train_loss 368238703954933.43750000 | valid rse 28806416.2182 | valid rae 5695632.8329 | valid corr  0.3144
| end of epoch 117 | time:  0.01s | train_loss 366398667374330.50000000 | valid rse 28735056.7321 | valid rae 5682998.0055 | valid corr  0.3139
| end of epoch 118 | time:  0.01s | train_loss 364097710228286.75000000 | valid rse 28659451.8426 | valid rae 5671273.5562 | valid corr  0.3128
| end of epoch 119 | time:  0.01s | train_loss 362116185729737.43750000 | valid rse 28577367.4933 | valid rae 5658817.5781 | valid corr  0.3115
| end of epoch 120 | time:  0.01s | train_loss 359916081674903.43750000 | valid rse 28499346.0009 | valid rae 5647956.8658 | valid corr  0.3099
| end of epoch 121 | time:  0.01s | train_loss 357338617357326.43750000 | valid rse 28410477.8454 | valid rae 5630226.9370 | valid corr  0.3099
| end of epoch 122 | time:  0.01s | train_loss 355209846055104.31250000 | valid rse 28330582.9638 | valid rae 5614096.8329 | valid corr  0.3100
| end of epoch 123 | time:  0.01s | train_loss 353114192378642.50000000 | valid rse 28255576.6016 | valid rae 5598999.1452 | valid corr  0.3101
| end of epoch 124 | time:  0.01s | train_loss 351398786473453.25000000 | valid rse 28181965.6384 | valid rae 5585276.1425 | valid corr  0.3098
| end of epoch 125 | time:  0.01s | train_loss 349612693068954.81250000 | valid rse 28112192.2197 | valid rae 5573763.8575 | valid corr  0.3089
| end of epoch 126 | time:  0.01s | train_loss 347467080655532.56250000 | valid rse 28042517.1058 | valid rae 5563651.1562 | valid corr  0.3076
| end of epoch 127 | time:  0.01s | train_loss 345611783834321.12500000 | valid rse 27972883.8217 | valid rae 5554137.4247 | valid corr  0.3059
| end of epoch 128 | time:  0.01s | train_loss 343195778024408.56250000 | valid rse 27885283.3232 | valid rae 5536767.6493 | valid corr  0.3059
| end of epoch 129 | time:  0.01s | train_loss 341500866977245.87500000 | valid rse 27813692.8108 | valid rae 5525393.8849 | valid corr  0.3048
| end of epoch 130 | time:  0.01s | train_loss 339119164446037.31250000 | valid rse 27729554.7532 | valid rae 5506671.1671 | valid corr  0.3056
| end of epoch 131 | time:  0.01s | train_loss 337222829514775.06250000 | valid rse 27644309.3188 | valid rae 5488601.4247 | valid corr  0.3060
| end of epoch 132 | time:  0.01s | train_loss 335338931840922.06250000 | valid rse 27565312.5735 | valid rae 5474027.6603 | valid corr  0.3056
| end of epoch 133 | time:  0.01s | train_loss 333157475606535.68750000 | valid rse 27468025.2272 | valid rae 5452849.7973 | valid corr  0.3063
| end of epoch 134 | time:  0.01s | train_loss 331298887993480.56250000 | valid rse 27370343.0669 | valid rae 5430223.6055 | valid corr  0.3076
| end of epoch 135 | time:  0.01s | train_loss 329130740108462.06250000 | valid rse 27277223.2497 | valid rae 5410896.6575 | valid corr  0.3079
| end of epoch 136 | time:  0.01s | train_loss 326874692592285.18750000 | valid rse 27174808.7121 | valid rae 5389349.1726 | valid corr  0.3084
| end of epoch 137 | time:  0.01s | train_loss 324372609991794.43750000 | valid rse 27086746.2873 | valid rae 5373472.9644 | valid corr  0.3078
| end of epoch 138 | time:  0.01s | train_loss 322244758175528.62500000 | valid rse 26986655.1049 | valid rae 5351369.2932 | valid corr  0.3086
| end of epoch 139 | time:  0.01s | train_loss 320191021766742.56250000 | valid rse 26891838.2912 | valid rae 5331904.8767 | valid corr  0.3089
| end of epoch 140 | time:  0.01s | train_loss 317825015022121.81250000 | valid rse 26802451.9210 | valid rae 5313189.8740 | valid corr  0.3093
| end of epoch 141 | time:  0.01s | train_loss 316154276776810.93750000 | valid rse 26731411.6866 | valid rae 5301805.5890 | valid corr  0.3082
| end of epoch 142 | time:  0.01s | train_loss 314033409827546.75000000 | valid rse 26648980.4517 | valid rae 5283208.7671 | valid corr  0.3091
| end of epoch 143 | time:  0.01s | train_loss 312551125874951.43750000 | valid rse 26583664.8339 | valid rae 5271881.9945 | valid corr  0.3085
| end of epoch 144 | time:  0.01s | train_loss 310919175418798.25000000 | valid rse 26521748.6272 | valid rae 5260555.2219 | valid corr  0.3081
| end of epoch 145 | time:  0.01s | train_loss 309481776899071.06250000 | valid rse 26449725.8117 | valid rae 5242597.6986 | valid corr  0.3095
| end of epoch 146 | time:  0.01s | train_loss 307776485339401.37500000 | valid rse 26380445.0914 | valid rae 5228395.3096 | valid corr  0.3097
| end of epoch 147 | time:  0.01s | train_loss 306304743212638.68750000 | valid rse 26301750.4140 | valid rae 5209548.8000 | valid corr  0.3110
| end of epoch 148 | time:  0.01s | train_loss 304775904234254.68750000 | valid rse 26227822.4661 | valid rae 5192578.4548 | valid corr  0.3119
| end of epoch 149 | time:  0.01s | train_loss 302998876638658.93750000 | valid rse 26152701.1081 | valid rae 5175896.3726 | valid corr  0.3125
| end of epoch 150 | time:  0.01s | train_loss 301581714875637.18750000 | valid rse 26076102.5654 | valid rae 5159453.4575 | valid corr  0.3130
| end of epoch 151 | time:  0.01s | train_loss 300087332423616.56250000 | valid rse 26014530.7119 | valid rae 5149934.8164 | valid corr  0.3120
| end of epoch 152 | time:  0.01s | train_loss 298345011390039.00000000 | valid rse 25953053.9908 | valid rae 5139529.6438 | valid corr  0.3113
| end of epoch 153 | time:  0.01s | train_loss 296922453696273.56250000 | valid rse 25895150.4638 | valid rae 5129417.2932 | valid corr  0.3108
| end of epoch 154 | time:  0.01s | train_loss 295527843536180.62500000 | valid rse 25825493.7682 | valid rae 5112370.4986 | valid corr  0.3121
| end of epoch 155 | time:  0.01s | train_loss 294026960157135.43750000 | valid rse 25758506.7177 | valid rae 5097923.3315 | valid corr  0.3125
| end of epoch 156 | time:  0.01s | train_loss 292356996215787.81250000 | valid rse 25690516.9019 | valid rae 5086181.3479 | valid corr  0.3119
| end of epoch 157 | time:  0.01s | train_loss 290899788419668.12500000 | valid rse 25612811.8113 | valid rae 5072602.8274 | valid corr  0.3112
| end of epoch 158 | time:  0.01s | train_loss 288811305120532.43750000 | valid rse 25527424.1293 | valid rae 5057124.9973 | valid corr  0.3106
| end of epoch 159 | time:  0.01s | train_loss 286982754048717.25000000 | valid rse 25433393.7390 | valid rae 5039397.5233 | valid corr  0.3102
| end of epoch 160 | time:  0.01s | train_loss 284790505952843.50000000 | valid rse 25353220.5834 | valid rae 5026897.7096 | valid corr  0.3089
| end of epoch 161 | time:  0.01s | train_loss 282591635944950.87500000 | valid rse 25262106.2273 | valid rae 5007767.8466 | valid corr  0.3093
| end of epoch 162 | time:  0.01s | train_loss 280924365936141.93750000 | valid rse 25191095.2274 | valid rae 4996422.8384 | valid corr  0.3082
| end of epoch 163 | time:  0.01s | train_loss 278727996284797.25000000 | valid rse 25102620.4097 | valid rae 4977725.0192 | valid corr  0.3087
| end of epoch 164 | time:  0.01s | train_loss 277041441267904.31250000 | valid rse 25012999.9963 | valid rae 4958309.3479 | valid corr  0.3093
| end of epoch 165 | time:  0.01s | train_loss 275368122009382.68750000 | valid rse 24932844.6340 | valid rae 4943193.4247 | valid corr  0.3090
| end of epoch 166 | time:  0.01s | train_loss 273418424629988.34375000 | valid rse 24842112.5111 | valid rae 4921873.8849 | valid corr  0.3104
| end of epoch 167 | time:  0.01s | train_loss 271532946085543.78125000 | valid rse 24768593.9095 | valid rae 4908594.4986 | valid corr  0.3099
| end of epoch 168 | time:  0.01s | train_loss 269834268372226.65625000 | valid rse 24679594.2765 | valid rae 4888816.9205 | valid corr  0.3107
| end of epoch 169 | time:  0.01s | train_loss 268287886569675.84375000 | valid rse 24605403.5855 | valid rae 4875524.2082 | valid corr  0.3102
| end of epoch 170 | time:  0.01s | train_loss 266566205576117.96875000 | valid rse 24521021.6109 | valid rae 4855825.5342 | valid corr  0.3114
| end of epoch 171 | time:  0.01s | train_loss 264990230843972.75000000 | valid rse 24443836.9525 | valid rae 4838295.4959 | valid corr  0.3123
| end of epoch 172 | time:  0.01s | train_loss 263382533846334.25000000 | valid rse 24370579.8746 | valid rae 4823941.9616 | valid corr  0.3122
| end of epoch 173 | time:  0.01s | train_loss 261680541144174.56250000 | valid rse 24296483.9517 | valid rae 4809214.5973 | valid corr  0.3123
| end of epoch 174 | time:  0.01s | train_loss 260184618149893.78125000 | valid rse 24223347.6547 | valid rae 4797373.0192 | valid corr  0.3112
